author,content,date,id,location,title,url
Special Correspondent,"Suspended DMK MLA Ku.Ka. Selvam has asked the party to withdraw his suspension, stating that the decision was taken without hearing his side, and that it was not wrong to meet other political party leaders. Mr. Selvam was suspended from the party after meeting with BJP president J.P. Nadda and Railway Minister Piyush Goyal in New Delhi on Tuesday. Mr. Selvam had claimed that he had met Mr. Goyal to ask for the construction of lifts at the Nungambakkam Railway Station in Chennai, which falls in the Thousand Lights constituency that he represents. DMK president M.K. Stalin had said a show-cause notice has been issued to Mr. Selvam asking why he should not be expelled from the party. Responding to the notice on Saturday, Mr. Selvam pointed out that even before hearing his side, it has been decided that he is guilty. “The decision of suspension is one-sided and against the principles of natural justice,” he said in his response. Mr. Selvam also claimed that the notice sent to him did not have sufficient details. “Nowhere is it mentioned that those belonging to the party should not meet cadres and leaders of other political parties,” he said. “Our leader [late] M. Karunanidhi also met the then Prime Minister who was from the BJP, which is known to everyone. Therefore, it is not correct to say I violated party discipline,” he said. Asking the party high command to withdraw the notice, he said: “If an inquiry is conducted in a fair manner, I will co-operate by giving the details sought by the party.”",2020-08-09,TH32307699,CHENNAI,"DMK MLA Selvam, who met BJP chief, wants suspension revoked",https://www.thehindu.com/todays-paper/tp-national/tp-tamilnadu/dmk-mla-selvam-who-met-bjp-chief-wants-suspension-revoked/article32307699.ece
Special Correspondent,"Activists expressed shock over the manner in which the Greater Chennai Corporation (GCC) has put up tin sheets along the pavement on Gandhi Irwin Road near Egmore Railway Station to quarantine the primary contacts of homeless persons who tested positive for COVID-19 recently. There are over 45 homeless families living on the pavement on Gandhi Irwin Road. Most of them work as loaders for omni buses, but were jobless now in the wake of lockdown. On Tuesday, around 10 of them tested positive for COVID-19. “Some officials came and placed the tin sheets along the pavement where we live and pasted stickers with the Corporation’s logo on it. However, we are able to go out and come in. There is no restriction on that,” said a homeless person. However, the primary contacts do not stay on the platform after the tin sheets were placed. “We are not able to sleep on the pavement after the sheets were placed. Now, most of us stay at the entrance of Egmore Railway Station. The Corporation did not come forward to give food after quarantining us. We have to rely on NGOs,” he said. They had been using the railway track as an open toilet. “We are using a public toilet which is not cleaned properly. This poses a risk for us,” said another homeless person. Meanwhile, activists said that the Corporation should have a protocol for handling homeless families. Individual homeless persons were tested and were taken to a shelter if found negative. But there were no shelters for homeless families. “It is inhuman to place tin sheets. Besides allowing primary contacts to move freely does not serve the quarantine purpose,” said an activist. An official said that some of the staff placed the sheets in a hurry to quarantine them. “They will be removed and the people will be taken to a shelter,” he said.",2020-08-09,TH32307051,CHENNAI,Chennai Corporation draws flak for barricading the homeless,https://www.thehindu.com/news/cities/chennai/chennai-corporation-draws-flak-for-barricading-the-homeless/article32307051.ece
Staff Reporter,"An advocate lodged a complaint against Aam Aadmi Party leader Sanjay Singh in connection with a tweet he made on Friday regarding the recent Ram temple stone foundation event in Ayodhya. The complainant stated that Mr. Singh has hurt religious sentiments of the Hindu community and insulted the Dalit community. In the tweet, Mr. Singh questioned the presence of Dalit leaders at the Ayodhya event. The complainant alleged that the Minister was trying to cause riots by making such statements.",2020-08-09,TH32307758,NEW DELHI,Complaint filed against AAP leader,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/complaint-filed-against-aap-leader/article32307758.ece
Press Trust of India,"PSU major Oil India Limited on Saturday said that preparations have been made for capping the blowout in its well at Baghjan in Assam. The well head and its plinth have been made ready for the fire control operation, a release by OIL said. The rig-up load testing of the complete wagon is planned for Saturday and treatment of well killing fluid is underway, it said. Well number five at Baghjan has been spewing gas uncontrollably for the last 66 days since May 27. It caught fire on June 9, killing two of OIL’s firefighters at the site, besides injuring three foreign experts.",2020-08-09,TH32307768,Dibrugarh,All set for capping blowout: OIL,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/all-set-for-capping-blowout-oil/article32307768.ece
Special Correspondent,"Uttar Pradesh Chief Minister on Saturday inaugurated a dedicated 400-bed government COVID-19 hospital in Noida. Spread across eight floors with its own diagnostic facility, dialysis unit, and blood bank, the Chief Minister also reviewed the facilities at the hospital that has come up in collaboration with the Tata Trusts and Bill & Melinda Gates Foundation. District Magistrate Suhas L.Y. said once fully operational, the hospital would be the largest State-run COVID-19 facility in the State. He said the hospital will start with around 200 beds, catering to symptomatic patients, and subsequently, 200 more beds will be added for infected persons with mild symptoms. Located in Sector 39, it was originally mooted as a district hospital. It will function as the premier health facility in the district after the pandemic is over. The construction of the building was completed in 2019 by the Noida Authority. At present, Noida has GIMS, Child PGI and Sharda Hospital as its government-run COVID-19 care facilities, besides private hospitals.",2020-08-09,TH32307756,Ghaziabad,U.P. CM inaugurates COVID-19 hospital,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/up-cm-inaugurates-covid-19-hospital/article32307756.ece
Staff Reporter,"A wanted criminal, involved in more than 32 cases of heinous crime, including charges of MCOCA has been arrested, the police said on Saturday. His accomplice was also arrested. Deputy Commissioner of Police (Dwarka) Anto Alphonse said that the accused has been identified as Rishi Raj alias Lambu who had a bounty of Rs. 1 lakh on his arrest and his accomplice Love Tomar who had a reward of Rs. 25,000 on his arrest. The two were arrested on a tip-off on Friday. The police said that the accused’s father was a farmer and he was also involved in agriculture. However, he fell in bad company and started keeping firearms. He was first arrested in 2004 in a theft case and then arrested several times in cases of robbery, attempt to murder, Arms Act, assault on police among others. The police said that in 2019, he came in touch with one Naresh Shetty in Bhondsi jail and both planned to extort money from jewellers in Najafgarh and adjoining areas.",2020-08-09,TH32307751,NEW DELHI,Wanted criminal lands in police net,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/wanted-criminal-lands-in-police-net/article32307751.ece
Hemani Bhandari,"There is an unwritten code of conduct among the sex workers at the Swami Shradhanand Marg, the city’s age-old red light area, where business has slowly resumed. Only regular clients are entertained; they need to wash their body with sanitisers and they should wear masks and gloves. Sitting on a narrow stairway are Guddi and Kajal. Their lipstick and kohl are markedly visible, as is a mask around their neck. They are ready, but the business is grim. “For the last few weeks, we have been getting ready but there is hardly any guest. One in a day or two; that too, not a regular occurrence,” complained Guddi, as Kajal went to the window facing the main road. “ [We’ve started standing at the window only a few days ago]”, she chimes in. At this moment, a lean youth wearing mask and spotting jeans, a blue check shirt and sport shoes climbs up. The women check him thoroughly. He is then splashed with sanitiser from shoulder to toe and then taken inside. “This is the only way to at least feel safe. They are sanitised completely. Also, we mostly don’t entertain new guests,” said Guddi. In another brothel, the women revealed that several of their colleagues have left for their hometowns. Rupa, who arrived here from Bengaluru 15 years ago, held her one-and-a-half-year-old son Rohit as she sat on the stairs. She was unkempt and without make-up. “No one has been coming, so what is the point in getting ready? There are hardly any girls left also. Men only come when there are more girls. Let’s see when the situation gets better,” she said. So has been the case at a ‘posh’ brothel, which offers ‘mujra’ every night. The cook and caretaker, who identified himself as Inderjeet, said that many women have left for their villages. And those living in Delhi return to their residence every morning and return late evening. “Ours is a very selective clientele. These days, they call and inform in advance if they are coming. Those we don’t recognise are not allowed to come upstairs,” he said, standing in a huge room on the second floor of the building. The “selected and old clients” also take care of the needs of the brothels, he added. “Everything touched by the client is sanitised, including the doorknobs and edges, chairs and sofas. In fact, there are some clients who have been associated with us for years and take care of our essential needs,” he said. Talking about essential needs, all the women spoke to said that they’ve had no hassles in managing the food. Every 15 days, they are provided with ration, which they can collect from government schools. “Everything, including sugar and tea leaves, is provided. None-essential expenditure is taken care by some means or the other,” said Kajal. Inderjeet, however, said that while business has come down significantly, the area lights up after sunset and “hasn’t lost its glory”.",2020-08-09,TH32307761,NEW DELHI,Embracing unwritten protocols to ensure safety,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/embracing-unwritten-protocols-to-ensure-safety/article32307761.ece
Special Correspondent,"A six-year-old girl, who was kidnapped and raped in the Garh area of Hapur on the intervening night of August 6 and 7, continues to be critical. Pradeep Kumar, Medical Superintendent of Lala Lajpat Rai Memorial Hospital, Meerut, said on Saturday, “She was brought to us with severe injury in the perineum. Our doctors operated upon her today. She is still not out of danger.” A video of her father purportedly pulling a stretcher also went viral on Saturday on social media. “We are looking into the footage. If any dereliction of duty is found, strict action will be taken against the guilty,” Dr. Kumar told reporters. The police, meanwhile, has not been able to nab the accused. The girl was allegedly abducted from outside her house in a village in the Garh area on Thursday evening. She was found more than 12 hours later in the nearby jungle in a semi-conscious state, the police said. “The medical report confirmed rape and internal injuries. An FIR was registered against an unidentified bike-borne man,” said Hapur ASP Sarvesh Mishra. The girl was first admitted to a Hapur hospital but shifted to Meerut on Friday evening. “Four persons had seen a person with the girl on a bike. At least 50 policemen have been put on surveillance job,” he said.",2020-08-09,TH32307769,Ghaziabad,Hapur rape victim still critical,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/hapur-rape-victim-still-critical/article32307769.ece
Staff Reporter,"A 44-year-old former Transport Department employee was arrested for allegedly extorting money from a delivery boy after posing as a police officer, officials said on Saturday. Deputy Commissioner of Police (Central) Sanjay Bhatia said that the accused has been identified as Subash Chander, a resident of Ghaziabad’s Loni. On July 23, one Rajat Kumar, a resident of Loni, approached the police and stated that he works with a food delivering application. He said that after delivering food at Pandav Nagar, he was returning on his bike via Deen Dayal Upadhyay Marg. When he reached near Aam Aadmi Party office, a person wearing a police uniform, sitting in an auto, stopped him. “The accused threatened him of challan for rash and negligent driving and asked Rs. 8,000 as fine,” Mr. Bhatia said, adding that Kumar did not have cash, following which the accused forced him to sit in the auto and asked to withdraw money from an ATM. He also threatened that if the fine was not paid, he would be implicated in a case. The police said that the two went to Connaught Place and the accused sent Kumar to an ATM to withdraw money. “Finding an opportunity, the victim fled and reached DDU Marg where his bike was parked. However, his phone was taken by the accused,” the officer said. After a case was registered and investigation was taken up, the police analysed the CCTV cameras, identified and arrested Chander. During interrogation, the police said, it was revealed that Chander used to work in Delhi Transport Department and was dismissed in 2005 on corruption charges. After being dismissed, he did not have work and started extorting or cheating people either in the name of Delhi Transport or police He has committed several such incidents in the area. The uniform which he was wearing at the time of incident was also recovered from his house, the police said.",2020-08-09,TH32307753,NEW DELHI,"Man arrested for posing as police officer, extorting money",https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/man-arrested-for-posing-as-police-officer-extorting-money/article32307753.ece
SPECIAL CORRESPONDENT,"The Punjab government has decided to withdraw the police security for Congress MP Partap Singh Bajwa after an assessment showed that he had virtually no threat perception. An official spokesperson on Saturday said the security provided to the Rajya Sabha MP had become redundant since he had procured personal security directly from the Union Home Ministry. Notably, Mr. Bajwa has been at loggerheads with Chief Minister Amarinder Singh ever since the Congress came to power in 2017. Recently, he and Rajya Sabha MP Shamsher Singh Dullo had approached the Governor seeking a CBI and Enforcement Directorate probe into the production of illegal liquor amid the hooch tragedy. Following this, State Congress chief Sunil Jakhar and all the Cabinet Ministers demanded strict action against both the MPs for their alleged “anti-party and anti-government” activities. On the security issue, the spokesperson added that Mr. Bajwa had been getting enhanced security from the Punjab police, way beyond what he was entitled to as Rajya Sabha MP. This was because the government had decided not to withdraw it as he was the party’s State chief. Mr. Bajwa was given Z Category security cover by the MHA on March 19 and has 25 CISF personnel deployed for duties.",2020-08-09,TH32307771,CHANDIGARH,Bajwa’s security withdrawn,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/bajwas-security-withdrawn/article32307771.ece
Staff Reporter,"With 1,404 new COVID-19 cases being reported in the Capital in the past 24 hours, the active cases increased for the fourth consecutive day after decreasing for 15 days continuously in July, according to a health bulletin released by the Delhi government on Saturday. The total number of cases stood at 1,44,127. Of the total, 1,29,362 people have recovered and 10,667 are active cases. Also, 16 more deaths have been reported, taking the total number of deaths to 4,098. The number of active cases, which was 27,007 on July 1 had fallen to 9,897 — below the 10,000 mark in months — on August 4, but since then it has been increasing. The number of new cases is also the highest in the past 21 days, but the number of tests done in the past 24 hours as per the bulletin is also the highest since at least July 1. The number of new cases has been less than 1,500 for the past 23 consecutive days, which is less compared to June. On June 23, daily new cases touched almost 4,000 — highest so far — and since then it has been dropping. Of the total 24,592 tests done in the past 24 hours, 77.6% of the tests were rapid antigen tests, which have shown a low positivity in the city compared to RT-PCR tests. Though Delhi has a capacity to do around 11,000 RT-PCR tests in a day, only 5,500 such tests were done in the past 24 hours. From July 1 to Saturday, the number of COVID-19 positive people in home isolation has also decreased from 16,703 to 5,372. Positivity rate, which is the percentage of people who test positive, has dropped from 12.2% to 5.7%. The number of containment zones in the city was 478 on Saturday.",2020-08-09,TH32307750,New Delhi,Capital sees spurt in active virus cases,https://www.thehindu.com/todays-paper/tp-miscellaneous/tp-others/capital-sees-spurt-in-active-virus-cases/article32307750.ece
